Ticker,Name,Industry,Index
UK.3IN,3I INFRASTRUCTURE PLC ORD NPV,Investment Banking & Investment Services,UK
UK.888,888 HOLDINGS PLC ORD 0.5P,,UK
UK.AAF,AIRTEL AFRICA PLC ORD USD0.50,Telecommunications Services,UK
UK.AAL,ANGLO AMERICAN PLC ORD USD0.54945,Metals & Mining,UK
UK.ABDN,ABRDN PLC ORD 13 61/63P,,UK
UK.ABF,ASSOCIATED BRITISH FOODS PLC ORD 5 15/22P,Food & Tobacco,UK
UK.ADM,ADMIRAL GROUP PLC ORD 0.1P,Insurance,UK
UK.AGR,ASSURA PLC ORD 10P,Residential & Commercial REITs,UK
UK.AGT,AVI GLOBAL TRUST PLC ORD 10P,Collective Investments,UK
UK.AHT,ASHTEAD GROUP PLC ORD 10P,Professional & Commercial Services,UK
UK.AJB,AJ BELL PLC ORD GBP0.000125,Investment Banking & Investment Services,UK
UK.AML,ASTON MARTIN LAGONDA GLOBAL HOLDING ORD GBP0.10,Automobiles & Auto Parts,UK
UK.ANTO,ANTOFAGASTA PLC ORD 5P,Metals & Mining,UK
UK.AO.,AO WORLD PLC ORD 0.25P,,UK
UK.APAX,APAX GLOBAL ALPHA LIMITED ORD NPV,Collective Investments,UK
UK.ASCL,ASCENTIAL PLC ORD 1P,Professional & Commercial Services,UK
UK.ASHM,ASHMORE GROUP PLC ORD 0.01P,Investment Banking & Investment Services,UK
UK.ASL,ABERFORTH SMALLER COMPANIES TST PLC ORD 1P,Collective Investments,UK
UK.ATG,AUCTION TECHNOLOGY GROUP PLC ORD 0.01P,,UK
UK.ATST,ALLIANCE TRUST PLC ORD 2.5P,Collective Investments,UK
UK.ATT,ALLIANZ TECHNOLOGY TRUST PLC ORD 2.5P,,UK
UK.AUTO,AUTO TRADER GROUP PLC ORD 1P,Software & IT Services,UK
UK.AV.,AVIVA PLC ORD 25P,Insurance,UK
UK.AVST,AVAST PLC ORD 10P,Software & IT Services,UK
UK.AVV,AVEVA GROUP PLC ORD 3 5/9P,Software & IT Services,UK
UK.AZN,ASTRAZENECA PLC ORD SHS $0.25,Pharmaceuticals,UK
UK.BA.,BAE SYSTEMS PLC ORD 2.5P,Aerospace & Defense,UK
UK.BAB,BABCOCK INTERNATIONAL GROUP PLC ORD 60P,Construction & Engineering,UK
UK.BARC,BARCLAYS PLC ORD 25P,Banking Services,UK
UK.BATS,BRITISH AMERICAN TOBACCO PLC ORD 25P,Food & Tobacco,UK
UK.BBGI,BBGI GLOBAL INFRASTRUCTURE S.A. ORD NPV (DI),Collective Investments,UK
UK.BBH,BB HEALTHCARE TRUST PLC RED ORD 1P,,UK
UK.BBOX,TRITAX BIG BOX REIT PLC ORD 1P,Residential & Commercial REITs,UK
UK.BBY,BALFOUR BEATTY PLC ORD 50P,Construction & Engineering,UK
UK.BCG,BALTIC CLASSIFIEDS GROUP PLC ORD GBP0.01,,UK
UK.BDEV,BARRATT DEVELOPMENTS PLC ORD 10P,Homebuilding & Construction Supplies,UK
UK.BEZ,BEAZLEY PLC ORD 5P,Insurance,UK
UK.BGFD,BAILLIE GIFFORD JAPAN TRUST PLC ORD 5P,Investment Banking & Investment Services,UK
UK.BGS,BAILLIE GIFFORD SHIN NIPPON PLC ORD 2P,,UK
UK.BGSC,BMO GLOBAL SMALLER COMPANIES PLC ORD 2.5P,Collective Investments,UK
UK.BHMG,BH MACRO LD ORD NPV (GBP),,UK
UK.BHP,BHP GROUP PLC ORD $0.50,Metals & Mining,UK
UK.BIFF,BIFFA PLC ORD GBP0.01,,UK
UK.BKG,BERKELEY GROUP HOLDINGS (THE) PLC ORD 5.4141P,Homebuilding & Construction Supplies,UK
UK.BLND,BRITISH LAND CO PLC ORD 25P,Residential & Commercial REITs,UK
UK.BME,B&M EUROPEAN VALUE RETAIL S.A. ORD 10P (DI),Diversified Retail,UK
UK.BNKR,BANKERS INV TST PLC ORD 2.5P,Collective Investments,UK
UK.BNZL,BUNZL PLC ORD 32 1/7P,Diversified Industrial Goods Wholesalers,UK
UK.BOY,BODYCOTE PLC ORD 17 3/11P,"Machinery, Tools, Heavy Vehicles, Trains & Ships",UK
UK.BP.,BP PLC $0.25,Oil & Gas,UK
UK.BPT,BRIDGEPOINT GROUP PLC ORD GBP0.00005,,UK
UK.BRBY,BURBERRY GROUP PLC ORD 0.05P,Specialty Retailers,UK
UK.BRSC,BLACKROCK SMALLER COMPANIES TST PLC ORD 25P,Collective Investments,UK
UK.BRW,BREWIN DOLPHIN HLDGS PLC ORD 1P,Investment Banking & Investment Services,UK
UK.BRWM,BLACKROCK WORLD MINING TRUST PLC ORD 5P,,UK
UK.BT.A,BT GROUP PLC ORD 5P,Telecommunications Services,UK
UK.BVIC,BRITVIC PLC ORD 20P,Beverages,UK
UK.BWY,BELLWAY PLC ORD 12.5P,Homebuilding & Construction Supplies,UK
UK.BYG,BIG YELLOW GROUP PLC ORD 10P,Residential & Commercial REITs,UK
UK.BYIT,BYTES TECHNOLOGY GROUP PLC ORD GBP0.01,,UK
UK.CAPC,CAPITAL & COUNTIES PROPERTIES PLC ORD 25P,Professional & Commercial Services,UK
UK.CBG,CLOSE BROS GROUP PLC ORD 25P,Banking Services,UK
UK.CCC,COMPUTACENTER PLC ORD 7 5/9P,Software & IT Services,UK
UK.CCH,COCA-COLA HBC AG ORD CHF6.70 (CDI),Beverages,UK
UK.CCL,CARNIVAL PLC ORD USD 1.66,Hotels & Entertainment Services,UK
UK.CCR,C&C GROUP PLC ORD EUR0.01 (CDI),,UK
UK.CEY,CENTAMIN PLC ORD NPV (DI),Metals & Mining,UK
UK.CHG,CHEMRING GROUP PLC ORD 1P,,UK
UK.CHRY,CHRYSALIS INVESTMENTS LIMITED ORD NPV,,UK
UK.CINE,CINEWORLD GROUP PLC ORD 1P,Hotels & Entertainment Services,UK
UK.CKN,CLARKSON PLC ORD 25P,Freight & Logistics Services,UK
UK.CLDN,CALEDONIA INVESTMENTS PLC ORD 5P,Collective Investments,UK
UK.CLI,CLS HOLDINGS PLC ORD 2.5P,Real Estate Operations,UK
UK.CMCX,CMC MARKETS PLC ORD 25P,,UK
UK.CNA,CENTRICA PLC ORD 6 14/81P,Multiline Utilities,UK
UK.CNE,CAIRN ENERGY PLC ORD 21/13P,Oil & Gas,UK
UK.COA,COATS GROUP PLC ORD 5P,Textiles & Apparel,UK
UK.CPG,COMPASS GROUP PLC ORD 11 1/20P,Hotels & Entertainment Services,UK
UK.CPI,CAPITA PLC ORD 2 1/15P,Real Estate Operations,UK
UK.CRDA,CRODA INTERNATIONAL PLC ORD 10.609756P,Chemicals,UK
UK.CRH,CRH PLC ORD EUR 0.32 (CDI),Construction Materials,UK
UK.CRST,CREST NICHOLSON HOLDINGS PLC ORD 5P,Homebuilding & Construction Supplies,UK
UK.CSP,COUNTRYSIDE PROPERTIES PLC ORD 1P,Homebuilding & Construction Supplies,UK
UK.CTEC,CONVATEC GROUP PLC ORD 10P,Healthcare Equipment & Supplies,UK
UK.CTY,CITY OF LONDON INVESTMENT TRUST PLC ORD 25P,Collective Investments,UK
UK.CURY,CURRYS PLC ORD 0.1P,,UK
UK.CWK,CRANSWICK PLC ORD 10P,Food & Tobacco,UK
UK.DARK,DARKTRACE PLC ORD GBP0.01,,UK
UK.DCC,DCC PLC ORD EUR0.25 (CDI),Oil & Gas,UK
UK.DEC,DIVERSIFIED ENERGY COMPANY PLC ORD 1P,,UK
UK.DGE,DIAGEO PLC ORD 28 101/108P,Beverages,UK
UK.DIGS,GCP STUDENT LIVING PLC ORD 1P,Residential & Commercial REITs,UK
UK.DLG,DIRECT LINE INSURANCE GROUP PLC ORD 10 10/11P,Insurance,UK
UK.DLN,DERWENT LONDON PLC ORD 5P,Residential & Commercial REITs,UK
UK.DNLM,DUNELM GROUP PLC ORD 1P,Specialty Retailers,UK
UK.DOCS,DR. MARTENS PLC ORD GBP0.01,,UK
UK.DOM,DOMINO'S PIZZA GROUP PLC ORD 25/48P,Hotels & Entertainment Services,UK
UK.DPH,DECHRA PHARMACEUTICALS PLC ORD 1P,Pharmaceuticals,UK
UK.DPLM,DIPLOMA PLC ORD 5P,"Machinery, Tools, Heavy Vehicles, Trains & Ships",UK
UK.DRX,DRAX GROUP PLC ORD 11 16/29P,Electric Utilities & IPPs,UK
UK.DSCV,DISCOVERIE GROUP PLC ORD 5P,,UK
UK.ECM,TRITAX EUROBOX PLC ORD EUR0.01 (GBP),Electronic Equipment & Parts,UK
UK.EDIN,ELECTROCOMPONENTS PLC ORD 10P,Collective Investments,UK
UK.EDV,EDINBURGH INV TST PLC ORD 25P,,UK
UK.ELM,ENDEAVOUR MINING PLC ORD USD0.01,Chemicals,UK
UK.EMG,ELEMENTIS PLC ORD 5P,Investment Banking & Investment Services,UK
UK.ENOG,MAN GROUP PLC ORD USD0.0342857142,Oil & Gas,UK
UK.ENT,ENERGEAN PLC ORD 1P,,UK
UK.ERM,ENTAIN PLC ORD EUR0.01,Professional & Commercial Services,UK
UK.ESNT,EUROMONEY INSTITUTIONAL INVEST.PLC ORD 0.25P,Containers & Packaging,UK
UK.EVR,ESSENTRA PLC ORD 25P,Metals & Mining,UK
UK.EWI,EVRAZ PLC ORD USD0.05,,UK
UK.EXPN,EDINBURGH WORLDWIDE INV TRUST PLC ORD 1P,Professional & Commercial Services,UK
UK.EZJ,EXPERIAN PLC ORD USD0.10,Passenger Transportation Services,UK
UK.FAN,EASYJET PLC ORD 27 2/7P,,UK
UK.FCIT,VOLUTION GROUP PLC ORD GBP0.01,Collective Investments,UK
UK.FCSS,F&C INVESTMENT TRUST PLC ORD 25P,Collective Investments,UK
UK.FDM,FIDELITY CHINA SPEC. SITUATION PLC ORD 1P,Software & IT Services,UK
UK.FERG,FDM GROUP (HOLDINGS) PLC ORD 1P,Homebuilding & Construction Supplies,UK
UK.FEV,FERGUSON PLC ORD 10P,Collective Investments,UK
UK.FGP,FIDELITY EUROPEAN TRUST PLC ORD 2.5P,Passenger Transportation Services,UK
UK.FGT,FIRSTGROUP PLC ORD 5P,Collective Investments,UK
UK.FLTR,FINSBURY GROWTH & INCOME TRUST PLC ORD 25P,Hotels & Entertainment Services,UK
UK.FOUR,FLUTTER ENTERTAINMENT PLC ORD EUR0.09 (CDI),Media & Publishing,UK
UK.FRAS,4IMPRINT GROUP PLC ORD 38 6/13P,,UK
UK.FRES,FRASERS GROUP PLC ORD 10P,Metals & Mining,UK
UK.FSV,FRESNILLO PLC ORD USD0.50,Collective Investments,UK
UK.FUTR,FIDELITY SPECIAL VALUES PLC ORD 5P,Media & Publishing,UK
UK.FXPO,FUTURE PLC ORD 15P,Metals & Mining,UK
UK.GAW,FERREXPO PLC ORD 10P,Leisure Products,UK
UK.GCP,GAMES WORKSHOP GROUP PLC ORD 5P,Collective Investments,UK
UK.GEN,GCP INFRASTRUCTURE INVESTMENTS LD ORD 1P,,UK
UK.GFTU,GENUIT GROUP PLC ORD GBP0.001,Specialty Retailers,UK
UK.GLEN,GRAFTON GROUP PLC UT (1 ORD) (CDI),Coal,UK
UK.GLO,GLENCORE PLC ORD USD0.01,Electric Utilities & IPPs,UK
UK.GNC,CONTOURGLOBAL PLC ORD 1P,Food & Tobacco,UK
UK.GNS,GREENCORE GROUP PLC ORD 1P (CDI),Biotechnology & Medical Research,UK
UK.GPOR,GENUS PLC ORD 10P,Residential & Commercial REITs,UK
UK.GRG,GREAT PORTLAND ESTATES PLC ORD 15 5/19P,Hotels & Entertainment Services,UK
UK.GRI,GREGGS PLC ORD 2P,Real Estate Operations,UK
UK.GROW,GRAINGER PLC ORD 5P,,UK
UK.GSK,DRAPER ESPRIT PLC ORD GBP0.01,Pharmaceuticals,UK
UK.GSS,GLAXOSMITHKLINE PLC ORD 25P,Collective Investments,UK
UK.GYS,GENESIS EMERGING MARKETS FUND LD PTG NPV,,UK
UK.HAS,HAYS PLC ORD 1P,Professional & Commercial Services,UK
UK.HBR,HARBOUR ENERGY PLC ORD 0.002P,,UK
UK.HFG,HILTON FOOD GROUP PLC ORD 10P,Food & Tobacco,UK
UK.HGT,HG CAPITAL TRUST PLC ORD 2.5P,Collective Investments,UK
UK.HICL,HICL INFRASTRUCTURE PLC ORD 0.01P,Collective Investments,UK
UK.HIK,HIKMA PHARMACEUTICALS PLC ORD SHS 10P,Pharmaceuticals,UK
UK.HILS,HILL & SMITH HLDGS PLC ORD 25P,Metals & Mining,UK
UK.HL.,HARGREAVES LANSDOWN PLC ORD 0.4P,Investment Banking & Investment Services,UK
UK.HLMA,HALMA PLC ORD 10P,"Machinery, Tools, Heavy Vehicles, Trains & Ships",UK
UK.HMSO,HAMMERSON PLC ORD 5P,Residential & Commercial REITs,UK
UK.HOC,HOCHSCHILD MINING PLC ORD 25P,Metals & Mining,UK
UK.HRI,HERALD INV TST PLC ORD 25P,Collective Investments,UK
UK.HSBA,HSBC HLDGS PLC ORD $0.50 (UK REG),Banking Services,UK
UK.HSL,HENDERSON SMALLER COS INV TST PLC ORD 25P,Collective Investments,UK
UK.HSV,HOMESERVE PLC ORD 2 9/13P,Personal & Household Products & Services,UK
UK.HSX,HISCOX LD ORD 6.5P (DI),Insurance,UK
UK.HTWS,HELIOS TOWERS PLC ORD 1P,,UK
UK.HVPE,HARBOURVEST GLOBAL PRIVATE EQUITY L ORD NPV,Investment Banking & Investment Services,UK
UK.HWDN,HOWDEN JOINERY GROUP PLC ORD 10P,Household Goods,UK
UK.IAG,INTL CONSOLIDATED AIRLINES GROUP SA ORD EUR0.10 (CDI),Passenger Transportation Services,UK
UK.IBST,IBSTOCK PLC ORD 1P,Construction Materials,UK
UK.ICGT,ICG ENTERPRISE TRUST PLC ORD 10P,Collective Investments,UK
UK.ICP,INTERMEDIATE CAPITAL GROUP PLC ORD 26 1/4P,Investment Banking & Investment Services,UK
UK.IEM,IMPAX ENVIRONMENTAL MARKETS PLC ORD 10P,,UK
UK.IGG,IG GROUP HOLDINGS PLC ORD 0.005P,Investment Banking & Investment Services,UK
UK.IHG,INTERCONTINENTAL HOTELS GROUP PLC ORD 20 340/399P,Hotels & Entertainment Services,UK
UK.IHP,INTEGRAFIN HOLDINGS PLC ORD 1P,Investment Banking & Investment Services,UK
UK.III,3I GROUP PLC ORD 73 19/22P,,UK
UK.IMB,IMPERIAL BRANDS PLC ORD 10P,Food & Tobacco,UK
UK.IMI,IMI PLC ORD 28 4/7P,"Machinery, Tools, Heavy Vehicles, Trains & Ships",UK
UK.INCH,INCHCAPE PLC ORD 10P,Specialty Retailers,UK
UK.INDV,INDIVIOR PLC ORD USD0.10,,UK
UK.INF,INFORMA PLC ORD 0.1P,Media & Publishing,UK
UK.INPP,INTERNATIONAL PUBLIC PARTNERSHIP LD ORD 0.01P,Collective Investments,UK
